model,var,at,b,se,N,r2,p_equality
mw_wkp_on_res_mw,mw_res,0,.86131465,.038638115,77567,.94309628,
mw_wkp_on_res_mw,cumsum_from0,0,.86131465,.038638115,77567,.94309628,
static_mw_res,mw_res,0,.038631514,.015243869,77567,.021577016,
static_mw_res,cumsum_from0,0,.038631514,.015243869,77567,.021577016,
static_mw_wkp,mw_wkp_tot_17,0,.046546958,.016420551,77567,.021624558,
static_mw_wkp,cumsum_from0,0,.046546958,.016420551,77567,.021624558,
static_both,mw_wkp_tot_17,0,.06825275,.03066081,77567,.021630375,.079168305
static_both,mw_res,0,-.020155581,.020040797,77567,.021630375,.079168305
static_both,cumsum_from0,0,.048097171,.016584598,77567,.021630375,.079168305
