ZillowSeries,totNA,tot_zip,N.mean,N.sd,N.median,N.min,N.max,EventPerZip,N,mean,SD,median,min,max
medlistingprice_low_tier,27421,3266,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,151736.727638221,94283.8908391182,129450,11750,939935
medlistingprice_SFCC,19813,10874,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,296431.418433167,256952.632389503,232900,12000,6995000
medlistingprice_top_tier,25595,5092,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,463979.420596402,350800.084985958,367000,112450,7295000
medlistingpricepsqft_low_tier,26941,3746,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,121.532865676478,83.3347192606248,99.8479932126649,11.5072651836158,1672.38765078163
medlistingpricepsqft_SFCC,19812,10875,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,165.608421128612,135.72593090165,127.722772277228,11.5711252653928,2802.34657039711
medlistingpricepsqft_top_tier,25263,5424,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,206.645623924053,177.982166193557,153.585567341334,31.521733848434,2799.42344722059
medrentprice_1BR,28988,1699,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,1607.93702476959,670.499043520135,1475,350,5195
medrentprice_2BR,28114,2573,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,1766.74055000515,879.010174915307,1565,475,19500
medrentprice_3BR,29080,1607,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,1928.8714054273,1459.31043080357,1586.5,455,40000
medrentprice_4BR,30457,230,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,3116.33855480116,5197.04067825891,2100,435,50000
medrentprice_5BR,30669,18,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,5715.09043778802,7571.90565686166,4000,1250,50000
medrentprice_CC,30087,600,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,2105.6498442727,938.792397271101,1900,700,8975
medrentprice_MFdxtx,30143,544,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,1979.01080729167,832.965521704601,1900,375,6646
medrentprice_Mfr5Plus,26953,3734,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,1554.03985527939,697.88828137689,1400,375,20000
medrentprice_SF,28009,2678,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,1778.37088969421,1931.01667261755,1495,500,50000
medrentprice_SFCC,27250,3437,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,1768.67878060664,1527.42620812801,1500,500,50000
