=========================================================================================
Filename: ../output/data_clean.csv
Key: zipcode, date.
Dimension: 4597102 x 117.

|var                              |type      |    n_NA| ch.min| ch.max| ch.n_unique|     num.mean|       num.sd|        num.p0|      num.p50|     num.p100|
|medlistingprice_5BR              |numeric   | 4569968|     NA|     NA|          NA| 8.244741e+05| 1.072369e+06| 33750.0000000| 4.699000e+05| 1.250000e+07|
|medlistingprice_SFCC             |numeric   | 3987523|     NA|     NA|          NA| 2.756132e+05| 2.447406e+05| 15250.0000000| 2.150000e+05| 5.995000e+06|
|medlistingprice_CC               |numeric   | 4541098|     NA|     NA|          NA| 3.072878e+05| 3.300087e+05| 25250.0000000| 2.359250e+05| 5.750000e+06|
|medlistingprice_MFdxtx           |numeric   | 4587158|     NA|     NA|          NA| 4.853197e+05| 4.052752e+05| 33100.0000000| 4.400000e+05| 3.200000e+06|
|medlistingprice_SF               |numeric   | 4002362|     NA|     NA|          NA| 2.871080e+05| 2.741974e+05| 16000.0000000| 2.197000e+05| 7.610000e+06|
|medlistingpricepsqft_1BR         |numeric   | 4588873|     NA|     NA|          NA| 3.256168e+02| 3.069323e+02|    24.7933884| 2.340094e+02| 2.182056e+03|
|medlistingpricepsqft_2BR         |numeric   | 4510729|     NA|     NA|          NA| 1.858919e+02| 1.805443e+02|    25.5434783| 1.378916e+02| 2.746914e+03|
|medlistingpricepsqft_3BR         |numeric   | 4221304|     NA|     NA|          NA| 1.439998e+02| 1.150211e+02|    20.8333333| 1.170260e+02| 3.167641e+03|
|medlistingpricepsqft_4BR         |numeric   | 4403067|     NA|     NA|          NA| 1.542060e+02| 1.141617e+02|    25.2474747| 1.254054e+02| 3.364486e+03|
|medlistingpricepsqft_5BR         |numeric   | 4563851|     NA|     NA|          NA| 2.226134e+02| 2.120154e+02|    19.6939783| 1.487285e+02| 2.292814e+03|
|medlistingpricepsqft_SFCC        |numeric   | 3806239|     NA|     NA|          NA| 1.581875e+02| 1.336683e+02|    15.7161510| 1.221047e+02| 2.799423e+03|
|medlistingpricepsqft_CC          |numeric   | 4523524|     NA|     NA|          NA| 2.686692e+02| 2.809950e+02|    28.7290670| 1.846509e+02| 2.802347e+03|
|medlistingpricepsqft_MFdxtx      |numeric   | 4589131|     NA|     NA|          NA| 2.221000e+02| 1.975792e+02|    16.9871393| 1.877462e+02| 1.212375e+03|
|medlistingpricepsqft_SF          |numeric   | 3842982|     NA|     NA|          NA| 1.502470e+02| 1.060775e+02|    15.7161510| 1.203444e+02| 2.077206e+03|
|medpctpricereduction_SFCC        |numeric   | 3923647|     NA|     NA|          NA| 4.252850e+00| 2.054630e+00|     0.0000345| 3.782673e+00| 4.903121e+01|
|medpctpricereduction_C           |numeric   | 4556642|     NA|     NA|          NA| 4.532588e+00| 2.073399e+00|     0.0002865| 4.074364e+00| 4.186047e+01|
|medpctpricereduction_SF          |numeric   | 3965722|     NA|     NA|          NA| 4.234549e+00| 2.075935e+00|     0.0000345| 3.754693e+00| 4.903121e+01|
|medrentprice_1BR                 |numeric   | 4571914|     NA|     NA|          NA| 1.753939e+03| 7.240425e+02|   490.0000000| 1.605000e+03| 4.595000e+03|
|medrentprice_2BR                 |numeric   | 4559899|     NA|     NA|          NA| 1.870191e+03| 9.126179e+02|   495.0000000| 1.685000e+03| 7.495000e+03|
|medrentprice_3BR                 |numeric   | 4565937|     NA|     NA|          NA| 1.747205e+03| 1.431879e+03|   630.0000000| 1.400000e+03| 4.500000e+04|
|medrentprice_4BR                 |numeric   | 4593434|     NA|     NA|          NA| 2.273084e+03| 8.739203e+02|  1050.0000000| 2.000000e+03| 5.700000e+03|
|medrentprice_5BR                 |numeric   | 4596684|     NA|     NA|          NA| 3.842593e+03| 7.500863e+02|  2400.0000000| 3.950000e+03| 5.300000e+03|
|medrentprice_SFCC                |numeric   | 4500301|     NA|     NA|          NA| 1.619786e+03| 9.107379e+02|   575.0000000| 1.412500e+03| 4.000000e+04|
|medrentprice_CC                  |numeric   | 4579111|     NA|     NA|          NA| 2.076197e+03| 9.154690e+02|   650.0000000| 1.895000e+03| 6.000000e+03|
|medrentprice_MFdxtx              |numeric   | 4585001|     NA|     NA|          NA| 2.145524e+03| 7.395641e+02|   525.0000000| 2.050000e+03| 4.997500e+03|
|medrentprice_Mfr5Plus            |numeric   | 4522999|     NA|     NA|          NA| 1.585219e+03| 6.944212e+02|   375.0000000| 1.442000e+03| 6.595000e+03|
|medrentprice_SF                  |numeric   | 4531166|     NA|     NA|          NA| 1.535602e+03| 1.146395e+03|   575.0000000| 1.350000e+03| 4.500000e+04|
|medrentprice_Studio              |numeric   | 4573574|     NA|     NA|          NA| 1.522333e+03| 5.788402e+02|   612.5000000| 1.400000e+03| 6.000000e+03|
|medrentpricepsqft_1BR            |numeric   | 4581812|     NA|     NA|          NA| 2.398634e+00| 1.014365e+00|     0.7342233| 2.177313e+00| 6.248050e+00|
|medrentpricepsqft_2BR            |numeric   | 4569475|     NA|     NA|          NA| 1.710409e+00| 8.322932e-01|     0.4858843| 1.489130e+00| 6.000000e+00|
|medrentpricepsqft_3BR            |numeric   | 4571779|     NA|     NA|          NA| 1.015285e+00| 5.796883e-01|     0.5327667| 8.575884e-01| 1.800000e+01|
|medrentpricepsqft_4BR            |numeric   | 4594634|     NA|     NA|          NA| 8.836670e-01| 1.373555e+00|     0.5312262| 7.378611e-01| 1.950000e+01|
|medrentpricepsqft_5BR            |numeric   | 4597022|     NA|     NA|          NA| 7.798017e-01| 1.375125e-01|     0.6721936| 7.214822e-01| 1.270648e+00|
|medrentpricepsqft_SFCC           |numeric   | 4494939|     NA|     NA|          NA| 1.198267e+00| 9.215476e-01|     0.4305747| 9.085640e-01| 2.268051e+01|
|medrentpricepsqft_CC             |numeric   | 4581590|     NA|     NA|          NA| 2.129312e+00| 1.218023e+00|     0.7149901| 1.753779e+00| 6.545821e+00|
|medrentpricepsqft_MFdxtx         |numeric   | 4593474|     NA|     NA|          NA| 2.842006e+00| 1.192825e+00|     1.0000000| 2.543302e+00| 6.271643e+00|
|medrentpricepsqft_Mfr5Plus       |numeric   | 4540254|     NA|     NA|          NA| 1.733047e+00| 8.598330e-01|     0.5015198| 1.506049e+00| 6.217560e+00|
|medrentpricepsqft_SF             |numeric   | 4529011|     NA|     NA|          NA| 9.895142e-01| 8.137451e-01|     0.4300589| 8.189655e-01| 2.268051e+01|
|medrentpricepsqft_Studio         |numeric   | 4577114|     NA|     NA|          NA| 1.323362e+00| 1.198637e+00|     0.4288971| 8.479323e-01| 6.824735e+00|
|medValuepsqft_SFCC               |numeric   | 1124596|     NA|     NA|          NA| 1.242021e+02| 9.889148e+01|    17.0000000| 9.500000e+01| 1.917000e+03|
|pcthomesDecreasingInValues_SFCC  |numeric   | 1775868|     NA|     NA|          NA| 3.483604e+01| 2.795690e+01|     0.0000000| 2.815000e+01| 1.000000e+02|
|pcthomesIncreasingInValues_SFCC  |numeric   | 1775868|     NA|     NA|          NA| 5.777109e+01| 2.919695e+01|     0.0000000| 6.181000e+01| 1.000000e+02|
|pctlistings_pricedown_SFCC       |numeric   | 3723472|     NA|     NA|          NA| 1.293737e+01| 5.249974e+00|     0.0000000| 1.259259e+01| 4.821429e+01|
|pctlistings_pricedown_C          |numeric   | 4521792|     NA|     NA|          NA| 1.129557e+01| 5.292317e+00|     0.0000000| 1.081081e+01| 5.568182e+01|
|pctlistings_pricedown_SF         |numeric   | 3771497|     NA|     NA|          NA| 1.322703e+01| 5.357855e+00|     0.0000000| 1.285714e+01| 4.821429e+01|
|priceToRentRatio_SFCC            |numeric   | 3366714|     NA|     NA|          NA| 1.113523e+01| 3.600149e+00|     0.4900000| 1.060000e+01| 7.170000e+01|
|zhvi_1BR                         |numeric   | 4105715|     NA|     NA|          NA| 1.565343e+05| 1.220194e+05| 23400.0000000| 1.218000e+05| 1.999200e+06|
|zhvi_2BR                         |numeric   | 2326625|     NA|     NA|          NA| 1.583854e+05| 1.343472e+05| 20200.0000000| 1.206000e+05| 3.362400e+06|
|zhvi_3BR                         |numeric   | 1490881|     NA|     NA|          NA| 1.987543e+05| 1.699485e+05| 20400.0000000| 1.494000e+05| 5.185000e+06|
|zhvi_4BR                         |numeric   | 2034092|     NA|     NA|          NA| 2.771103e+05| 2.366553e+05| 26700.0000000| 2.132000e+05| 6.090200e+06|
|zhvi_5BR                         |numeric   | 3321759|     NA|     NA|          NA| 4.417907e+05| 4.403859e+05| 26700.0000000| 3.196000e+05| 9.931300e+06|
|zhvi_SFCC                        |numeric   | 1065714|     NA|     NA|          NA| 1.974972e+05| 1.765372e+05| 21300.0000000| 1.468000e+05| 6.421400e+06|
|zhvi_low_tier                    |numeric   | 1616320|     NA|     NA|          NA| 1.483385e+05| 1.231521e+05| 16700.0000000| 1.128000e+05| 3.568100e+06|
|zhvi_low_tier_yoy                |numeric   | 1783916|     NA|     NA|          NA| 3.545830e-02| 9.686780e-02|    -0.5354505| 3.347730e-02| 1.181070e+00|
|zhvi_C                           |numeric   | 3330727|     NA|     NA|          NA| 1.861531e+05| 1.400369e+05| 27000.0000000| 1.449000e+05| 3.073900e+06|
|zhvi_mid_tier                    |numeric   | 1071834|     NA|     NA|          NA| 1.975369e+05| 1.764874e+05| 21300.0000000| 1.468000e+05| 6.421400e+06|
|zhvi_mid_tier_yoy                |numeric   | 1257087|     NA|     NA|          NA| 3.560330e-02| 8.786940e-02|    -0.5211551| 3.339190e-02| 9.250646e-01|
|zhvi_SF                          |numeric   | 1090102|     NA|     NA|          NA| 2.078290e+05| 2.034233e+05| 21300.0000000| 1.493000e+05| 6.492000e+06|
|zhvi_top_tier                    |numeric   | 1017427|     NA|     NA|          NA| 2.924715e+05| 2.934440e+05| 27400.0000000| 2.150000e+05| 1.164230e+07|
|zhvi_top_tier_yoy                |numeric   | 1203693|     NA|     NA|          NA| 3.589610e-02| 8.301990e-02|    -0.5204125| 3.344690e-02| 9.965695e-01|
|zri_SFCC                         |numeric   | 3305437|     NA|     NA|          NA| 1.425732e+03| 7.185818e+02|   411.0000000| 1.242000e+03| 1.839100e+04|
|zri_SFCCMF                       |numeric   | 3303767|     NA|     NA|          NA| 1.409798e+03| 6.886843e+02|   411.0000000| 1.234000e+03| 1.780100e+04|
|zri_MF                           |numeric   | 3901733|     NA|     NA|          NA| 1.321286e+03| 5.659016e+02|   414.0000000| 1.191000e+03| 1.585300e+04|
|zri_SFrent                       |numeric   | 3308716|     NA|     NA|          NA| 1.459840e+03| 8.074715e+02|   411.0000000| 1.248000e+03| 2.095100e+04|
|zripsqft_SFCC                    |numeric   | 3385731|     NA|     NA|          NA| 9.452865e-01| 4.211474e-01|     0.2760000| 8.320000e-01| 6.504000e+00|
|min_actual_mw                    |numeric   |  313752|     NA|     NA|          NA| 6.337432e+00| 1.251546e+00|     4.2500000| 6.500000e+00| 1.524000e+01|
|mean_actual_mw                   |numeric   |  313752|     NA|     NA|          NA| 6.338464e+00| 1.251309e+00|     4.2500000| 6.500000e+00| 1.524000e+01|
|max_actual_mw                    |numeric   |  313752|     NA|     NA|          NA| 6.341183e+00| 1.252065e+00|     4.2500000| 6.500000e+00| 1.524000e+01|
|Dmin_actual_mw                   |numeric   |  332460|     NA|     NA|          NA| 1.561450e-02| 1.031028e-01|    -1.0000000| 0.000000e+00| 5.810000e+00|
|min_event                        |numeric   |  332460|     NA|     NA|          NA| 3.149670e-02| 1.746558e-01|     0.0000000| 0.000000e+00| 1.000000e+00|
|Dmean_actual_mw                  |numeric   |  332460|     NA|     NA|          NA| 1.561260e-02| 9.902970e-02|    -1.0000000| 0.000000e+00| 5.810000e+00|
|mean_event                       |numeric   |  332460|     NA|     NA|          NA| 3.840060e-02| 1.921615e-01|     0.0000000| 0.000000e+00| 1.000000e+00|
|Dmax_actual_mw                   |numeric   |  332460|     NA|     NA|          NA| 1.561100e-02| 1.030966e-01|    -1.0000000| 0.000000e+00| 5.810000e+00|
|max_event                        |numeric   |  332460|     NA|     NA|          NA| 3.148800e-02| 1.746325e-01|     0.0000000| 0.000000e+00| 1.000000e+00|
=========================================================================================

