=====================================================

Filename: ../output/zillow/data_file_manifest.log
Key: zipcode, city, stateabb, msa, county

|         |mean    |sd      |median |min     |max    |n  |na_count |
|:--------|:-------|:-------|:------|:-------|:------|:--|:--------|
|zipcode  |NA      |NA      |NA     |NA      |NA     |NA |5        |
|city     |NA      |NA      |NA     |NA      |NA     |NA |5        |
|stateabb |NA      |NA      |NA     |NA      |NA     |NA |5        |
|msa      |NA      |NA      |NA     |NA      |NA     |NA |5        |
|county   |NA      |NA      |NA     |NA      |NA     |NA |5        |
|X2017.04 |2.15 |1.7  |0.83   |1.82 |4.98 |5  |0        |
|X2017.05 |2.14 |1.71 |0.84   |1.72 |4.98 |5  |0        |
|X2017.06 |2.15 |1.7  |0.83   |1.76 |4.99 |5  |0        |
|X2017.07 |2.18 |1.78 |0.83   |1.79 |5.16 |5  |0        |
|X2017.08 |2.2  |1.86 |0.82   |1.69 |5.34 |5  |0        |
|X2017.09 |2.19 |1.91 |0.82   |1.68 |5.46 |5  |0        |
|X2017.10 |2.16 |1.89 |0.82   |1.6  |5.4  |5  |0        |
|X2017.11 |2.18 |1.89 |0.83   |1.59 |5.4  |5  |0        |
|X2017.12 |2.19 |1.91 |0.82   |1.56 |5.46 |5  |0        |
|X2018.01 |2.17 |1.87 |0.81   |1.57 |5.34 |5  |0        |
|X2018.02 |2.2  |1.88 |0.83   |1.68 |5.4  |5  |0        |
|X2018.03 |2.21 |1.88 |0.84   |1.69 |5.4  |5  |0        |
|X2018.04 |2.18 |1.79 |0.83   |1.71 |5.19 |5  |0        |
|X2018.05 |2.17 |1.78 |0.83   |1.81 |5.19 |5  |0        |
|X2018.06 |2.13 |1.79 |0.84   |1.72 |5.19 |5  |0        |
|X2018.07 |2.17 |1.85 |0.84   |1.81 |5.34 |5  |0        |
|X2018.08 |2.08 |1.7  |0.83   |1.72 |4.98 |5  |0        |
|X2018.09 |2.09 |1.71 |0.82   |1.69 |4.98 |5  |0        |
|X2018.10 |2.08 |1.71 |0.83   |1.69 |4.98 |5  |0        |
|X2018.11 |2.06 |1.65 |0.83   |1.72 |4.86 |5  |0        |
|X2018.12 |2.15 |1.7  |0.84   |1.81 |4.99 |5  |0        |
|X2019.01 |2.16 |1.7  |0.85   |1.89 |5    |5  |0        |
|X2019.02 |2.26 |1.84 |0.84   |1.91 |5.34 |5  |0        |
|X2019.03 |2.25 |1.87 |0.85   |1.81 |5.4  |5  |0        |
|X2019.04 |2.21 |1.79 |0.86   |1.81 |5.21 |5  |0        |
|X2019.05 |2.23 |1.81 |0.86   |1.81 |5.27 |5  |0        |
|X2019.06 |2.17 |1.74 |0.87   |1.77 |5.09 |5  |0        |
|X2019.07 |2.15 |1.69 |0.87   |1.76 |4.98 |5  |0        |
|X2019.08 |2.18 |1.8  |0.86   |1.72 |5.23 |5  |0        |
|X2019.09 |2.16 |1.77 |0.85   |1.72 |5.15 |5  |0        |
|X2019.10 |2.24 |1.87 |0.86   |1.84 |5.4  |5  |0        |
|X2019.11 |2.26 |1.87 |0.86   |1.84 |5.4  |5  |0        |
|X2019.12 |2.2  |1.77 |0.86   |1.8  |5.16 |5  |0        |


=====================================================


 

=====================================================

Filename: ../output/zillow/data_file_manifest.log
Key: zipcode, city, stateabb, msa, county

|         |mean |sd |median |min |max |n  |na_count |
|:--------|:----|:--|:------|:---|:---|:--|:--------|
|zipcode  |NA   |NA |NA     |NA  |NA  |NA |5        |
|city     |NA   |NA |NA     |NA  |NA  |NA |5        |
|stateabb |NA   |NA |NA     |NA  |NA  |NA |5        |
|msa      |NA   |NA |NA     |NA  |NA  |NA |5        |
|county   |NA   |NA |NA     |NA  |NA  |NA |5        |
|RegionID |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1996.04 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1996.05 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1996.06 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1996.07 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1996.08 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1996.09 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1996.10 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1996.11 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1996.12 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1997.01 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1997.02 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1997.03 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1997.04 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1997.05 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1997.06 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1997.07 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1997.08 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1997.09 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1997.10 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1997.11 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1997.12 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1998.01 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1998.02 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1998.03 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1998.04 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1998.05 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1998.06 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1998.07 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1998.08 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1998.09 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1998.10 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1998.11 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1998.12 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1999.01 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1999.02 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1999.03 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1999.04 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1999.05 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1999.06 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1999.07 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1999.08 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1999.09 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1999.10 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1999.11 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X1999.12 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2000.01 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2000.02 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2000.03 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2000.04 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2000.05 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2000.06 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2000.07 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2000.08 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2000.09 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2000.10 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2000.11 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2000.12 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2001.01 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2001.02 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2001.03 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2001.04 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2001.05 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2001.06 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2001.07 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2001.08 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2001.09 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2001.10 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2001.11 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2001.12 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2002.01 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2002.02 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2002.03 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2002.04 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2002.05 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2002.06 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2002.07 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2002.08 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2002.09 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2002.10 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2002.11 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2002.12 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2003.01 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2003.02 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2003.03 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2003.04 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2003.05 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2003.06 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2003.07 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2003.08 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2003.09 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2003.10 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2003.11 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2003.12 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2004.01 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2004.02 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2004.03 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2004.04 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2004.05 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2004.06 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2004.07 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2004.08 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2004.09 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2004.10 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2004.11 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2004.12 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2005.01 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2005.02 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2005.03 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2005.04 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2005.05 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2005.06 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2005.07 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2005.08 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2005.09 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2005.10 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2005.11 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2005.12 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2006.01 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2006.02 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2006.03 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2006.04 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2006.05 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2006.06 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2006.07 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2006.08 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2006.09 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2006.10 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2006.11 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2006.12 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2007.01 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2007.02 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2007.03 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2007.04 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2007.05 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2007.06 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2007.07 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2007.08 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2007.09 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2007.10 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2007.11 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2007.12 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2008.01 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2008.02 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2008.03 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2008.04 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2008.05 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2008.06 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2008.07 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2008.08 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2008.09 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2008.10 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2008.11 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2008.12 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2009.01 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2009.02 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2009.03 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2009.04 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2009.05 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2009.06 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2009.07 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2009.08 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2009.09 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2009.10 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2009.11 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2009.12 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2010.01 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2010.02 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2010.03 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2010.04 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2010.05 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2010.06 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2010.07 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2010.08 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2010.09 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2010.10 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2010.11 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2010.12 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2011.01 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2011.02 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2011.03 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2011.04 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2011.05 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2011.06 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2011.07 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2011.08 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2011.09 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2011.10 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2011.11 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2011.12 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2012.01 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2012.02 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2012.03 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2012.04 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2012.05 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2012.06 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2012.07 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2012.08 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2012.09 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2012.10 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2012.11 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2012.12 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2013.01 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2013.02 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2013.03 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2013.04 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2013.05 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2013.06 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2013.07 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2013.08 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2013.09 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2013.10 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2013.11 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2013.12 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2014.01 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2014.02 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2014.03 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2014.04 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2014.05 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2014.06 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2014.07 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2014.08 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2014.09 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2014.10 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2014.11 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2014.12 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2015.01 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2015.02 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2015.03 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2015.04 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2015.05 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2015.06 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2015.07 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2015.08 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2015.09 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2015.10 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2015.11 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2015.12 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2016.01 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2016.02 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2016.03 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2016.04 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2016.05 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2016.06 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2016.07 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2016.08 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2016.09 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2016.10 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2016.11 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2016.12 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2017.01 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2017.02 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2017.03 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2017.04 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2017.05 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2017.06 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2017.07 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2017.08 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2017.09 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2017.10 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2017.11 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2017.12 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2018.01 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2018.02 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2018.03 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2018.04 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2018.05 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2018.06 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2018.07 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2018.08 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2018.09 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2018.10 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2018.11 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2018.12 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2019.01 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2019.02 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2019.03 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2019.04 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2019.05 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2019.06 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2019.07 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2019.08 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2019.09 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2019.10 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2019.11 |NA   |NA |NA     |NA  |NA  |NA |5        |
|X2019.12 |NA   |NA |NA     |NA  |NA  |NA |5        |


=====================================================

