=====================================================

Filename: ../output/zillow/data_file_manifest.log
Key: zipcode, city, stateabb, msa, county

|         |mean    |sd      |median |min     |max    |n  |na_count |
|:--------|:-------|:-------|:------|:-------|:------|:--|:--------|
|zipcode  |NA      |NA      |NA     |NA      |NA     |NA |5        |
|city     |NA      |NA      |NA     |NA      |NA     |NA |5        |
|stateabb |NA      |NA      |NA     |NA      |NA     |NA |5        |
|msa      |NA      |NA      |NA     |NA      |NA     |NA |5        |
|county   |NA      |NA      |NA     |NA      |NA     |NA |5        |
|X2016.12 |2724.3  |1389.79 |1524   |2000    |4800   |5  |0        |
|X2017.01 |2730.5  |1391.8  |1437.5 |2015    |4800   |5  |0        |
|X2017.02 |2787.6  |1395.29 |1528   |2060    |4900   |5  |0        |
|X2017.03 |2777.5  |1403.06 |1489   |2050    |4895   |5  |0        |
|X2017.04 |2763.9  |1418.45 |1459.5 |2060    |4900   |5  |0        |
|X2017.05 |2797.3  |1414.93 |1526.5 |2075    |4950   |5  |0        |
|X2017.06 |2789    |1375.27 |1600   |2050    |4900   |5  |0        |
|X2017.07 |2784.9  |1365.72 |1604.5 |2095    |4900   |5  |0        |
|X2017.08 |2744    |1342.29 |1590   |2010    |4800   |5  |0        |
|X2017.09 |2806.5  |1427.21 |1627.5 |2010    |5000   |5  |0        |
|X2017.10 |2806.9  |1475.29 |1610   |2000    |5087.5 |5  |0        |
|X2017.11 |2828.8  |1451.22 |1639.5 |2010    |5000   |5  |0        |
|X2017.12 |2818.4  |1428.89 |1634.5 |2085    |4950   |5  |0        |
|X2018.01 |2850.8  |1451.09 |1650   |2100    |5054   |5  |0        |
|X2018.02 |2880.8  |1496.74 |1645   |2092    |5200   |5  |0        |
|X2018.03 |2833.2  |1366.89 |1656   |2135    |4925   |5  |0        |
|X2018.04 |2811.2  |1317.49 |1656   |2150    |4800   |5  |0        |
|X2018.05 |2830    |1384.16 |1630   |2100    |4925   |5  |0        |
|X2018.06 |2825    |1386.32 |1650   |2100    |4950   |5  |0        |
|X2018.07 |2821.3  |1384.19 |1619   |2100    |4937.5 |5  |0        |
|X2018.08 |2818    |1418.93 |1600   |2095    |4995   |5  |0        |
|X2018.09 |2795    |1436.73 |1620   |2005    |5000   |5  |0        |
|X2018.10 |2801.8  |1435.14 |1609   |2100    |5000   |5  |0        |
|X2018.11 |2827.3  |1389.96 |1699   |2150    |4925   |5  |0        |
|X2018.12 |2797.9  |1331.84 |1649.5 |2200    |4800   |5  |0        |
|X2019.01 |2863.4  |1314.71 |1672   |2350    |4800   |5  |0        |
|X2019.02 |2855.1  |1324.6  |1665   |2350    |4860   |5  |0        |
|X2019.03 |2830.8  |1280.15 |1659   |2300    |4750   |5  |0        |
|X2019.04 |2815.3  |1334.59 |1599   |2200    |4827.5 |5  |0        |
|X2019.05 |2851    |1373.64 |1605   |2200    |4900   |5  |0        |
|X2019.06 |2817.8  |1354.52 |1619   |2155    |4900   |5  |0        |
|X2019.07 |2821.7  |1365    |1619   |2150    |4950   |5  |0        |
|X2019.08 |2889.5  |1467.16 |1600   |2247.5  |5200   |5  |0        |
|X2019.09 |2922.7  |1453.49 |1590   |2390    |5183.5 |5  |0        |
|X2019.10 |3017.8  |1585.86 |1590   |2300    |5400   |5  |0        |
|X2019.11 |2988.3  |1537.66 |1578   |2316    |5200   |5  |0        |
|X2019.12 |2960.9  |1517.08 |1586   |2300    |5105   |5  |0        |


=====================================================


 

=====================================================

Filename: ../output/zillow/data_file_manifest.log
Key: zipcode, city, stateabb, msa, county

|         |mean |sd   |median |min  |max  |n  |na_count |
|:--------|:----|:----|:------|:----|:----|:--|:--------|
|zipcode  |NA   |NA   |NA     |NA   |NA   |NA |5        |
|city     |NA   |NA   |NA     |NA   |NA   |NA |5        |
|stateabb |NA   |NA   |NA     |NA   |NA   |NA |5        |
|msa      |NA   |NA   |NA     |NA   |NA   |NA |5        |
|county   |NA   |NA   |NA     |NA   |NA   |NA |5        |
|X2010.02 |NaN  |NA   |Inf    |NA   |-Inf |0  |5        |
|X2010.03 |NaN  |NA   |Inf    |NA   |-Inf |0  |5        |
|X2010.04 |NaN  |NA   |Inf    |NA   |-Inf |0  |5        |
|X2010.05 |NaN  |NA   |Inf    |NA   |-Inf |0  |5        |
|X2010.06 |NaN  |NA   |Inf    |NA   |-Inf |0  |5        |
|X2010.07 |NaN  |NA   |Inf    |NA   |-Inf |0  |5        |
|X2010.08 |NaN  |NA   |Inf    |NA   |-Inf |0  |5        |
|X2010.09 |NaN  |NA   |Inf    |NA   |-Inf |0  |5        |
|X2010.10 |NaN  |NA   |Inf    |NA   |-Inf |0  |5        |
|X2010.11 |NaN  |NA   |Inf    |NA   |-Inf |0  |5        |
|X2010.12 |NaN  |NA   |Inf    |NA   |-Inf |0  |5        |
|X2011.01 |1.73 |NA   |1.73   |1.73 |1.73 |1  |4        |
|X2011.02 |1.74 |NA   |1.74   |1.74 |1.74 |1  |4        |
|X2011.03 |1.75 |NA   |1.75   |1.75 |1.75 |1  |4        |
|X2011.04 |1.77 |NA   |1.77   |1.77 |1.77 |1  |4        |
|X2011.05 |1.68 |NA   |1.68   |1.68 |1.68 |1  |4        |
|X2011.06 |1.73 |NA   |1.73   |1.73 |1.73 |1  |4        |
|X2011.07 |1.66 |NA   |1.66   |1.66 |1.66 |1  |4        |
|X2011.08 |1.7  |NA   |1.7    |1.7  |1.7  |1  |4        |
|X2011.09 |1.73 |NA   |1.73   |1.73 |1.73 |1  |4        |
|X2011.10 |1.77 |NA   |1.77   |1.77 |1.77 |1  |4        |
|X2011.11 |1.82 |NA   |1.82   |1.82 |1.82 |1  |4        |
|X2011.12 |1.82 |NA   |1.82   |1.82 |1.82 |1  |4        |
|X2012.01 |1.84 |NA   |1.84   |1.84 |1.84 |1  |4        |
|X2012.02 |1.79 |NA   |1.79   |1.79 |1.79 |1  |4        |
