model,var,at,b,se,N,r2,p_equality
stacked_static_w6,d_ln_mw,0,-.00021874058,.0061607133,1010565,.023846576,.90482622
stacked_static_w6,d_exp_ln_mw,0,.001964865,.01235749,1010565,.023846576,.90482622
stacked_static_w3,d_ln_mw,0,-.010874084,.011531789,662128,.026667306,.4093838
stacked_static_w3,d_exp_ln_mw,0,.020400507,.026062867,662128,.026667306,.4093838
stacked_static_w9,d_ln_mw,0,.010316657,.0060243732,1340852,.024655752,.21438216
stacked_static_w9,d_exp_ln_mw,0,-.0099307522,.01077877,1340852,.024655752,.21438216
