model,var,at,b,se,N,r2
baseline_model,mw_wkp_tot_17,0,.050989084,.028932109,132178,.020668395
baseline_model,mw_res,0,-.017675538,.017256647,132178,.020668395
baseline_model,cumsum_from0,0,.033313546,.015995448,132178,.020668395
