hh_income_decile,avg_sqft,n
1,954.795282010604,39654
2,939.803630219662,39654
3,952.1206652331289,39654
4,1039.70451440457,39654
5,1070.4746531745257,39654
6,1106.357539494739,39654
7,1175.4850241937945,39654
8,1262.7764347460186,39654
9,1338.0327004297587,39654
10,1609.762942198655,39654
