hh_income_decile,avg_rent_psqft,n
1,1.0706713552674934,39654
2,1.0572931014787947,39654
3,1.0925488098048755,39654
4,1.1337971393331665,39654
5,1.0879772557665988,39654
6,1.0886662154690059,39654
7,1.0825612671660452,39654
8,1.0978883255204748,39654
9,1.123779074862401,39654
10,1.2057693509171483,39654
