hh_income_decile,pr_tenant,n
1,0.5922843243603334,133257
2,0.6033564220731887,133257
3,0.5279253514507128,133257
4,0.4627105847367794,133257
5,0.396696237965176,133257
6,0.33124645467335334,133257
7,0.26994254913767823,133257
8,0.20180735729560575,133257
9,0.14320506502069974,133257
10,0.09129963738220656,133257
