person_salary_decile,sh_hh_head_max,n
1,0.4234178119685521,54531
2,0.4943324504358539,54531
3,0.581032666033997,54531
4,0.676093605755451,54531
5,0.717970361389599,54531
6,0.7621725962764603,54531
7,0.8017664019368674,54531
8,0.833094159744585,54531
9,0.8928038233076038,54531
10,0.9567946821438824,54531
