hh_income_decile,sh_condo,n
1,0.07426456173259925,48246
2,0.07617241030983263,48246
3,0.0728200160467114,48246
4,0.07502671835888465,48246
5,0.08188455872812958,48246
6,0.087903203695113,48246
7,0.09172469237145119,48246
8,0.09569440982449517,48246
9,0.09491730252826432,48246
10,0.10293622435874399,48246
