hh_income_decile,avg_rent,n
1,697.2288041784727,39654
2,797.6898090652631,39654
3,838.3940659137594,39654
4,904.9316142208008,39654
5,938.802660583131,39654
6,971.448877005509,39654
7,1011.3211992655393,39654
8,1085.8873211341722,39654
9,1193.9133069707418,39654
10,1541.1338563427166,39654
