+------------+------+-------+------------+-----------+
| countyfips | year | month | unemp_rate | footnotes |
|   01003    | 2019 |   02  |    3.6     |           |
|   01003    | 2019 |   01  |    4.0     |           |
|   01003    | 2018 |   12  |    3.3     |           |
|   01003    | 2018 |   11  |    3.1     |           |
|   01003    | 2018 |   10  |    3.4     |           |
|   01003    | 2018 |   09  |    3.3     |           |
|   01003    | 2018 |   08  |    3.7     |           |
|   01003    | 2018 |   07  |    3.6     |           |
|   01003    | 2018 |   06  |    4.0     |           |
|   01003    | 2018 |   05  |    3.1     |           |
|   01003    | 2018 |   04  |    3.2     |           |
|   01003    | 2018 |   03  |    3.8     |           |
|   01003    | 2018 |   02  |    4.3     |           |
|   01003    | 2018 |   01  |    4.3     |           |
|   01003    | 2017 |   12  |    3.6     |           |
|   01003    | 2017 |   11  |    3.5     |           |
|   01003    | 2017 |   10  |    3.5     |           |
|   01003    | 2017 |   09  |    3.4     |           |
|   01003    | 2017 |   08  |    3.8     |           |
|   01003    | 2017 |   07  |    3.8     |           |
|   01003    | 2017 |   06  |    4.1     |           |
|   01003    | 2017 |   05  |    3.5     |           |
|   01003    | 2017 |   04  |    3.7     |           |
|   01003    | 2017 |   03  |    4.5     |           |
|   01003    | 2017 |   02  |    5.5     |           |
|   01003    | 2017 |   01  |    5.8     |           |
|   01003    | 2016 |   12  |    5.2     |           |
|   01003    | 2016 |   11  |    5.1     |           |
|   01003    | 2016 |   10  |    5.5     |           |
|   01003    | 2016 |   09  |    5.2     |           |
|   01003    | 2016 |   08  |    5.3     |           |
|   01003    | 2016 |   07  |    5.1     |           |
|   01003    | 2016 |   06  |    5.3     |           |
|   01003    | 2016 |   05  |    4.8     |           |
|   01003    | 2016 |   04  |    4.8     |           |
|   01003    | 2016 |   03  |    5.5     |           |
|   01003    | 2016 |   02  |    6.1     |           |
|   01003    | 2016 |   01  |    6.2     |           |
|   01003    | 2015 |   12  |    5.6     |           |
|   01003    | 2015 |   11  |    5.3     |           |
|   01003    | 2015 |   10  |    5.4     |           |
|   01003    | 2015 |   09  |    5.3     |           |
|   01003    | 2015 |   08  |    5.6     |           |
|   01003    | 2015 |   07  |    5.5     |           |
|   01003    | 2015 |   06  |    5.6     |           |
|   01003    | 2015 |   05  |    5.2     |           |
|   01003    | 2015 |   04  |    4.9     |           |
|   01003    | 2015 |   03  |    5.5     |           |
|   01003    | 2015 |   02  |    6.2     |           |
|   01003    | 2015 |   01  |    6.3     |           |
|   01003    | 2014 |   12  |    5.6     |           |
|   01003    | 2014 |   11  |    5.5     |           |
|   01003    | 2014 |   10  |    5.7     |           |
|   01003    | 2014 |   09  |    5.7     |           |
|   01003    | 2014 |   08  |    6.1     |           |
|   01003    | 2014 |   07  |    6.1     |           |
|   01003    | 2014 |   06  |    6.2     |           |
|   01003    | 2014 |   05  |    5.6     |           |
|   01003    | 2014 |   04  |    5.4     |           |
|   01003    | 2014 |   03  |    6.6     |           |
|   01003    | 2014 |   02  |    7.6     |           |
|   01003    | 2014 |   01  |    7.5     |           |
|   01003    | 2013 |   12  |    6.5     |           |
|   01003    | 2013 |   11  |    6.4     |           |
|   01003    | 2013 |   10  |    6.4     |           |
|   01003    | 2013 |   09  |    6.4     |           |
|   01003    | 2013 |   08  |    6.4     |           |
|   01003    | 2013 |   07  |    6.3     |           |
|   01003    | 2013 |   06  |    6.6     |           |
|   01003    | 2013 |   05  |    5.9     |           |
|   01003    | 2013 |   04  |    5.8     |           |
|   01003    | 2013 |   03  |    6.7     |           |
|   01003    | 2013 |   02  |    7.9     |           |
|   01003    | 2013 |   01  |    8.2     |           |
|   01003    | 2012 |   12  |    7.2     |           |
|   01003    | 2012 |   11  |    6.7     |           |
|   01003    | 2012 |   10  |    7.3     |           |
|   01003    | 2012 |   09  |    7.1     |           |
|   01003    | 2012 |   08  |    7.7     |           |
|   01003    | 2012 |   07  |    7.9     |           |
|   01003    | 2012 |   06  |    8.0     |           |
|   01003    | 2012 |   05  |    7.2     |           |
|   01003    | 2012 |   04  |    6.8     |           |
|   01003    | 2012 |   03  |    7.6     |           |
|   01003    | 2012 |   02  |    8.5     |           |
|   01003    | 2012 |   01  |    8.3     |           |
|   01003    | 2011 |   12  |    7.9     |           |
|   01003    | 2011 |   11  |    7.7     |           |
|   01003    | 2011 |   10  |    8.4     |           |
|   01003    | 2011 |   09  |    8.8     |           |
|   01003    | 2011 |   08  |    8.9     |           |
|   01003    | 2011 |   07  |    9.0     |           |
|   01003    | 2011 |   06  |    9.5     |           |
|   01003    | 2011 |   05  |    8.7     |           |
|   01003    | 2011 |   04  |    8.7     |           |
|   01003    | 2011 |   03  |    9.3     |           |
|   01003    | 2011 |   02  |    10.2    |           |
|   01003    | 2011 |   01  |    10.4    |           |
|   01003    | 2010 |   12  |    9.5     |           |
|   01003    | 2010 |   11  |    9.6     |           |
|   01003    | 2010 |   10  |    9.4     |           |
|   01003    | 2010 |   09  |    9.2     |           |
|   01003    | 2010 |   08  |    9.3     |           |
|   01003    | 2010 |   07  |    9.0     |           |
|   01003    | 2010 |   06  |    9.2     |           |
|   01003    | 2010 |   05  |    9.2     |           |
|   01003    | 2010 |   04  |    9.9     |           |
|   01003    | 2010 |   03  |    11.3    |           |
|   01003    | 2010 |   02  |    12.2    |           |
|   01003    | 2010 |   01  |    12.3    |           |
+------------+------+-------+------------+-----------+
