model,var,at,b,se,N,r2,p_equality
mw_wkp_on_res_mw,mw_res,0,.88061053,.020513289,47540,.95062,
mw_wkp_on_res_mw,cumsum_from0,0,.88061053,.020513289,47540,.95062,
static_mw_res,mw_res,0,.015898751,.017067971,47540,.047024842,
static_mw_res,cumsum_from0,0,.015898751,.017067971,47540,.047024842,
static_mw_wkp,mw_wkp_tot_17,0,.021116316,.019471962,47743,.047233541,
static_mw_wkp,cumsum_from0,0,.021116316,.019471962,47743,.047233541,
static_both,mw_wkp_tot_17,0,.061014026,.037543308,47540,.047053181,.12554361
static_both,mw_res,0,-.037830845,.028193824,47540,.047053181,.12554361
static_both,cumsum_from0,0,.023183182,.019809069,47540,.047053181,.12554361
