model,var,at,b,se,N,r2,p_equality,p_pretrend
Studio_rents_dyn,cumsum_from0,2,.025080537,.052726388,18796,.04607271,.14354782,.1903087
Studio_rents_dyn,cumsum_from0,3,-.0024841311,.078332245,18796,.04607271,.14354782,.1903087
Studio_rents_dyn,cumsum_from0,4,-.0074670371,.067666002,18796,.04607271,.14354782,.1903087
Studio_rents_dyn,cumsum_from0,5,.012322209,.062580504,18796,.04607271,.14354782,.1903087
Studio_rents_dyn,cumsum_from0,6,-.021465834,.057653863,18796,.04607271,.14354782,.1903087
1BR_rents_dyn,mw_wkp_tot_17,-6,.0064779841,.016754538,43299,.031384226,.24747458,.2716324
1BR_rents_dyn,mw_wkp_tot_17,-5,.018981151,.018282373,43299,.031384226,.24747458,.2716324
1BR_rents_dyn,mw_wkp_tot_17,-4,-.012519835,.016142828,43299,.031384226,.24747458,.2716324
1BR_rents_dyn,mw_wkp_tot_17,-3,-.01514673,.011466333,43299,.031384226,.24747458,.2716324
1BR_rents_dyn,mw_wkp_tot_17,-2,-.0027871807,.014340666,43299,.031384226,.24747458,.2716324
1BR_rents_dyn,mw_wkp_tot_17,-1,.004538307,.014558415,43299,.031384226,.24747458,.2716324
1BR_rents_dyn,mw_wkp_tot_17,0,-.048398517,.043721486,43299,.031384226,.24747458,.2716324
1BR_rents_dyn,mw_wkp_tot_17,1,.0064881588,.016701255,43299,.031384226,.24747458,.2716324
1BR_rents_dyn,mw_wkp_tot_17,2,-.003129455,.018801687,43299,.031384226,.24747458,.2716324
1BR_rents_dyn,mw_wkp_tot_17,3,.01237697,.017167099,43299,.031384226,.24747458,.2716324
1BR_rents_dyn,mw_wkp_tot_17,4,.011127791,.020710176,43299,.031384226,.24747458,.2716324
1BR_rents_dyn,mw_wkp_tot_17,5,.012411606,.011098166,43299,.031384226,.24747458,.2716324
1BR_rents_dyn,mw_wkp_tot_17,6,-.022764834,.013071944,43299,.031384226,.24747458,.2716324
1BR_rents_dyn,mw_res,0,.035172269,.028127614,43299,.031384226,.24747458,.2716324
1BR_rents_dyn,cumsum_from0,-1,0,0,43299,.031384226,.24747458,.2716324
1BR_rents_dyn,cumsum_from0,0,-.013226246,.017931608,43299,.031384226,.24747458,.2716324
1BR_rents_dyn,cumsum_from0,1,-.0067380876,.026550075,43299,.031384226,.24747458,.2716324
1BR_rents_dyn,cumsum_from0,2,-.0098675424,.030780746,43299,.031384226,.24747458,.2716324
1BR_rents_dyn,cumsum_from0,3,.0025094275,.045240153,43299,.031384226,.24747458,.2716324
1BR_rents_dyn,cumsum_from0,4,.01363722,.058985636,43299,.031384226,.24747458,.2716324
1BR_rents_dyn,cumsum_from0,5,.026048826,.063855983,43299,.031384226,.24747458,.2716324
1BR_rents_dyn,cumsum_from0,6,.0032839919,.059525263,43299,.031384226,.24747458,.2716324
2BR_rents_dyn,mw_wkp_tot_17,-6,.029162385,.01166332,72364,.027133282,.82612014,.00034510836
2BR_rents_dyn,mw_wkp_tot_17,-5,.017779287,.015719272,72364,.027133282,.82612014,.00034510836
2BR_rents_dyn,mw_wkp_tot_17,-4,-.029994862,.014091733,72364,.027133282,.82612014,.00034510836
2BR_rents_dyn,mw_wkp_tot_17,-3,-.015684407,.0087807588,72364,.027133282,.82612014,.00034510836
2BR_rents_dyn,mw_wkp_tot_17,-2,-.0028413015,.0082533145,72364,.027133282,.82612014,.00034510836
2BR_rents_dyn,mw_wkp_tot_17,-1,.016332803,.011852424,72364,.027133282,.82612014,.00034510836
2BR_rents_dyn,mw_wkp_tot_17,0,-.0114402,.031173745,72364,.027133282,.82612014,.00034510836
2BR_rents_dyn,mw_wkp_tot_17,1,.0028332178,.016144698,72364,.027133282,.82612014,.00034510836
2BR_rents_dyn,mw_wkp_tot_17,2,-.006969532,.012957194,72364,.027133282,.82612014,.00034510836
2BR_rents_dyn,mw_wkp_tot_17,3,.009284379,.016510947,72364,.027133282,.82612014,.00034510836
2BR_rents_dyn,mw_wkp_tot_17,4,.024992786,.010271555,72364,.027133282,.82612014,.00034510836
