counterfactual,num_tot_incidence,denom_tot_incidence,N,tot_incidence
fed_10pc,15897.15944195725,184889.0162230581,4829,.085982174
fed_15usd,260573.9172837734,2902960.572750092,11017,.089761436
fed_9usd,39729.22947412729,459289.8712364733,6287,.086501427
