model,var,at,b,se,N,r2,p_equality
mw_wkp_on_res_mw_w6,d_mw_res,0,.53301448,.033054758,109989,.977018,
mw_wkp_on_res_mw_w6,cumsum_from0,0,.53301448,.033054758,109989,.977018,
static_mw_res_w6,d_mw_res,0,.011146652,.0081670517,109989,.081118353,
static_mw_res_w6,cumsum_from0,0,.011146652,.0081670517,109989,.081118353,
static_mw_wkp_w6,d_mw_wkp_tot_17,0,.030745175,.016109534,109989,.081138536,
static_mw_wkp_w6,cumsum_from0,0,.030745175,.016109534,109989,.081138536,
static_both_w6,d_mw_wkp_tot_17,0,.071929671,.036115777,109989,.081152335,.074824475
static_both_w6,d_mw_res,0,-.027192904,.018733058,109989,.081152335,.074824475
static_both_w6,cumsum_from0,0,.044736769,.021199515,109989,.081152335,.074824475
