model,var,at,b,se,N,r2,p_equality
stacked_static_w6,d_ln_mw,0,-.026696566,.01557728,106345,.084685497,.061556704
stacked_static_w6,d_exp_ln_mw,0,.073575646,.038593657,106345,.084685497,.061556704
stacked_static_w3,d_ln_mw,0,-.042067718,.026539009,65222,.083826311,.16262753
stacked_static_w3,d_exp_ln_mw,0,.076710656,.058488339,65222,.083826311,.16262753
stacked_static_w9,d_ln_mw,0,-.021177573,.016509701,146569,.085818514,.13120021
stacked_static_w9,d_exp_ln_mw,0,.064858481,.040615328,146569,.085818514,.13120021
