model,var,at,b,se,N,r2,p_equality,p_pretrend
mw_wkp_only_dynamic_w3,d_mw_wkp_tot_17,-3,-.021018632,.023890402,65701,.082043752,.074292473,.61714298
mw_wkp_only_dynamic_w3,d_mw_wkp_tot_17,-2,.022417573,.022832092,65701,.082043752,.074292473,.61714298
mw_wkp_only_dynamic_w3,d_mw_wkp_tot_17,-1,-.018021317,.020294676,65701,.082043752,.074292473,.61714298
mw_wkp_only_dynamic_w3,d_mw_wkp_tot_17,0,.066008508,.039987486,65701,.082043752,.074292473,.61714298
mw_wkp_only_dynamic_w3,d_mw_wkp_tot_17,1,-.035085406,.034238245,65701,.082043752,.074292473,.61714298
mw_wkp_only_dynamic_w3,d_mw_wkp_tot_17,2,.023052394,.01590281,65701,.082043752,.074292473,.61714298
mw_wkp_only_dynamic_w3,d_mw_wkp_tot_17,3,-.010930296,.025905671,65701,.082043752,.074292473,.61714298
mw_wkp_only_dynamic_w3,d_mw_res,0,-.03919553,.019386236,65701,.082043752,.074292473,.61714298
