model,var,at,b,se,N,r2,p_equality
mw_wkp_on_res_mw_w3,d_mw_res,0,.54966909,.044548184,61123,.9757365,
mw_wkp_on_res_mw_w3,cumsum_from0,0,.54966909,.044548184,61123,.9757365,
static_mw_res_w3,d_mw_res,0,-.006508139,.010143055,61123,.054349069,
static_mw_res_w3,cumsum_from0,0,-.006508139,.010143055,61123,.054349069,
static_mw_wkp_w3,d_mw_wkp_tot_17,0,.0046862764,.023115765,61123,.054344371,
static_mw_wkp_w3,cumsum_from0,0,.0046862764,.023115765,61123,.054344371,
static_both_w3,d_mw_wkp_tot_17,0,.078980617,.05043966,61123,.054406594,.075127937
static_both_w3,d_mw_res,0,-.049921345,.019768326,61123,.054406594,.075127937
static_both_w3,cumsum_from0,0,.029059274,.032984998,61123,.054406594,.075127937
