model,var,at,b,se,N,r2,p_equality,p_pretrend
mw_wkp_only_dynamic_w9,d_mw_wkp_tot_17,-9,.023680471,.026564149,115237,.058979485,.17362055,6.4746098e-07
mw_wkp_only_dynamic_w9,d_mw_wkp_tot_17,-8,-.010848141,.033715967,115237,.058979485,.17362055,6.4746098e-07
mw_wkp_only_dynamic_w9,d_mw_wkp_tot_17,-7,-.036025271,.040692467,115237,.058979485,.17362055,6.4746098e-07
mw_wkp_only_dynamic_w9,d_mw_wkp_tot_17,-6,-.010768106,.024276972,115237,.058979485,.17362055,6.4746098e-07
mw_wkp_only_dynamic_w9,d_mw_wkp_tot_17,-5,.096826784,.031609777,115237,.058979485,.17362055,6.4746098e-07
mw_wkp_only_dynamic_w9,d_mw_wkp_tot_17,-4,-.065389194,.022228114,115237,.058979485,.17362055,6.4746098e-07
mw_wkp_only_dynamic_w9,d_mw_wkp_tot_17,-3,-.014477503,.044554163,115237,.058979485,.17362055,6.4746098e-07
mw_wkp_only_dynamic_w9,d_mw_wkp_tot_17,-2,.045453511,.047173876,115237,.058979485,.17362055,6.4746098e-07
mw_wkp_only_dynamic_w9,d_mw_wkp_tot_17,-1,-.0043369131,.04106994,115237,.058979485,.17362055,6.4746098e-07
mw_wkp_only_dynamic_w9,d_mw_wkp_tot_17,0,.069713756,.05257706,115237,.058979485,.17362055,6.4746098e-07
mw_wkp_only_dynamic_w9,d_mw_wkp_tot_17,1,-.01450768,.040391121,115237,.058979485,.17362055,6.4746098e-07
mw_wkp_only_dynamic_w9,d_mw_wkp_tot_17,2,-.015042176,.023755539,115237,.058979485,.17362055,6.4746098e-07
mw_wkp_only_dynamic_w9,d_mw_wkp_tot_17,3,.025047038,.044185173,115237,.058979485,.17362055,6.4746098e-07
mw_wkp_only_dynamic_w9,d_mw_wkp_tot_17,4,-.0044136862,.066985331,115237,.058979485,.17362055,6.4746098e-07
mw_wkp_only_dynamic_w9,d_mw_wkp_tot_17,5,.022281785,.032036241,115237,.058979485,.17362055,6.4746098e-07
mw_wkp_only_dynamic_w9,d_mw_wkp_tot_17,6,.014959548,.021056687,115237,.058979485,.17362055,6.4746098e-07
mw_wkp_only_dynamic_w9,d_mw_wkp_tot_17,7,-.072750762,.020580322,115237,.058979485,.17362055,6.4746098e-07
mw_wkp_only_dynamic_w9,d_mw_wkp_tot_17,8,.036715247,.032950271,115237,.058979485,.17362055,6.4746098e-07
mw_wkp_only_dynamic_w9,d_mw_wkp_tot_17,9,.024311047,.060861211,115237,.058979485,.17362055,6.4746098e-07
mw_wkp_only_dynamic_w9,d_mw_res,0,-.034049377,.022800507,115237,.058979485,.17362055,6.4746098e-07
