model,var,at,b,se,N,r2
mw_wkp_on_res_mw_w9,d_mw_res,0,.55513328,.035032395,134939,.97545296
mw_wkp_on_res_mw_w9,cumsum_from0,0,.55513328,.035032395,134939,.97545296
static_mw_res_w9,d_mw_res,0,.0080812611,.0095144799,134939,.055086963
static_mw_res_w9,cumsum_from0,0,.0080812611,.0095144799,134939,.055086963
static_mw_wkp_w9,d_mw_wkp_tot_17,0,.026581721,.020206666,134939,.055104755
static_mw_wkp_w9,cumsum_from0,0,.026581721,.020206666,134939,.055104755
static_both_w9,d_mw_wkp_tot_17,0,.084711559,.044249445,134939,.055128172
static_both_w9,d_mw_res,0,-.038944945,.018983983,134939,.055128172
static_both_w9,cumsum_from0,0,.045766614,.027689597,134939,.055128172
